1,س,0.0447853
4,ل,0.0360835
5,ا,0.096941
8,م,0.0362417
12, ,0.0364409
16,ی,0.0366747
18,ا,0.0632854
22,ر,0.0363853
24, ,0.0360805
25,ت,0.0979747
29,و,0.0364119
30, ,0.0933734
33,ق,0.0360776
37,د,0.0360827
38,ی,0.036314
41,م,0.0362769
42,ی,0.0969356
45, ,0.0850144
48,ب,0.0365752
49,ه,0.0934272
53, ,0.0435375
56,ی,0.0360774
58,ا,0.0937451
62,ر,0.0360774
66, ,0.0360783
70,م,0.0360775
75,ن,0.0360774
79, ,0.0360778
83,ق,0.0360926
84,د,0.0974221
89,ی,0.0368224
92,م,0.036326
95,ی,0.0363157
96, ,0.0698204
100,ی,0.036255
101,ا,0.0931966
105,ر,0.0789488
107, ,0.0361587
109,ی,0.0397878
112,ا,0.0362512
114,ر,0.0361882
117, ,0.0360853
120,ی,0.0458776
123,ا,0.0361004
127,ر,0.0369763
128, ,0.0362083
129,ی,0.096594
134,ا,0.0360898
136,ر,0.0632248
139, ,0.0413826
142,ی,0.0360777
145,ا,0.0363106
146,ر,0.0922178
150, ,0.0912333
152,ب,0.036079
156,ه,0.0360776
160, ,0.091432
163,ب,0.0361345
166,ه,0.0978066
169, ,0.0362537
172,ف,0.0363716
175,ز,0.0958195
178,ا,0.0366941
181, ,0.0361517
182,ی,0.08766
185,ا,0.0795761
187,ر,0.036333
188, ,0.0933981
189,م,0.0975225
194,ن,0.0360827
197, ,0.036166
198,ت,0.0366286
199,و,0.0979718
202, ,0.0360808
206,م,0.0363389
208,ن,0.0978487
210, ,0.0628544
213,ی,0.0367614
214,ا,0.0973306
218,ر,0.0365957
222, ,0.0361345
225,ی,0.0361048
228,ا,0.0689539
231,ر,0.0368698
234, ,0.0363694
236,ی,0.0361101
239,ا,0.0963228
242,ر,0.0361357
244, ,0.0817009
247,ی,0.0362935
248,ا,0.0971929
252,ر,0.0363782
254, ,0.036122
256,ی,0.0361763
257,ا,0.0796418
259,ر,0.0925008
262, ,0.0360911
265,ی,0.0857833
268,ا,0.0363377
269,ر,0.0446982
271, ,0.0400473
272,ی,0.0809613
275,ا,0.0364777
280,ر,0.0365993
281, ,0.0974315
284,ی,0.0360775
287,ا,0.036143
288,ر,0.0360898
291, ,0.036562
294,ت,0.0363726
295,و,0.0956488
299, ,0.0360923
301,ی,0.0973338
304,ا,0.0361246
308,ر,0.0360776
312, ,0.0360778
316,ب,0.0360775
319,ه,0.0360789
323, ,0.036078
328,ت,0.0362405
330,و,0.060277
333, ,0.0819456
335,م,0.0980223
339,ن,0.0366327
341, ,0.0362055
343,ب,0.0360854
346,ه,0.0365802
349, ,0.0712151
351,ی,0.0361691
352,ا,0.0361139
353,ر,0.0361715
354, ,0.0366335
355, ,0.0668671
357, ,0.0364104
358, ,0.036116
360, ,0.036548
361,ب,0.0366169
364,ه,0.0369725
365, ,0.0363185
367,ق,0.0361168
370,د,0.0360906
371,ی,0.0734635
372,م,0.0361025
374,ی,0.0362314
375, ,0.0368658
378,ب,0.0361249
379,ه,0.0365072
381, ,0.0480316
382,ی,0.0365825
383,ا,0.0360789
384,ر,0.0365444
385, ,0.0360773
386, ,0.0360773
387,ی,0.0360773
388,ا,0.0360773
389,ر,0.0360931
393, ,0.036081
394,ت,0.0361203
395,و,0.0360893
396, ,0.0361073
399,ق,0.0364702
400,د,0.0363303
403,ی,0.0364603
405,م,0.0361511
407,ی,0.0433895
408, ,0.036102
409, ,0.0361204
410, ,0.0361057
413, ,0.0360774
414,ت,0.0360774
416,و,0.0360774
417, ,0.0360774
418, ,0.0360774
419,ی,0.0360777
420,ا,0.0360776
422,ر,0.0360777
424, ,0.0363601
425, ,0.060607
426,ت,0.0366307
428,و,0.0361044
429, ,0.0360774
430,ق,0.0360784
433,د,0.036626
434,ی,0.0370389
437,م,0.0365928
438,ی,0.03674
439, ,0.0369932
441, ,0.0365051
442, ,0.0364487
444,م,0.0364753
445,ن,0.0362508
446, ,0.0373032
447, ,0.0366273
449,ت,0.037511
450,و,0.0366722
451, ,0.0484568
452, ,0.0536593
454, ,0.0361042
455, ,0.0366607
456, ,0.036209
459,ی,0.0363627
462,ا,0.0371629
463,ر,0.0360773
464, ,0.0360773
465,ب,0.0360821
467,ه,0.03609
468, ,0.036079
469,س,0.0361046
470,ل,0.036078
472,ا,0.0881861
473,م,0.0360776
475, ,0.0361015
476, ,0.0365659
477, ,0.0361959
478, ,0.0389748
479,ق,0.0365796
480,د,0.0365361
481,ی,0.0918435
482,م,0.0365606
483,ی,0.0367372
486, ,0.0367332
491,ت,0.0366053
492,و,0.0360783
493, ,0.0361247
495,م,0.0361966
496,ن,0.0364499
497, ,0.0843698
498, ,0.0961067
501, ,0.0360773
504,ب,0.0360859
505,ه,0.036086
509, ,0.03661
510,م,0.0360786
511,ن,0.0361726
512, ,0.0361223
513, ,0.0956659
515, ,0.036332
516,م,0.0361513
518,ن,0.0362186
521, ,0.0360773
523,ت,0.0360773
524,و,0.0360827
525, ,0.0360775
527,ف,0.0361114
532,ز,0.0360968
533,ا,0.0360773
535, ,0.0361827
543, ,0.0360786
544,ی,0.0360792
545,ا,0.0362447
546,ر,0.0361382
547, ,0.0730038
549, ,0.0362758
551,ت,0.0360894
556,و,0.0360882
557, ,0.0360989
559,ب,0.0361069
563,ه,0.0360796
564, ,0.0360787
567, ,0.0360777
568, ,0.0360776
569, ,0.0360775
571, ,0.0360776
577, ,0.0597718
578, ,0.0970335
582, ,0.0360776
584,ف,0.0361462
586,ز,0.0363348
587,ا,0.0366476
589, ,0.0364446
590, ,0.036089
591,ب,0.0360941
592,ه,0.0365613
593, ,0.0360829
594, ,0.0362398
595, ,0.0362581
596, ,0.0364995
603, ,0.0362093
604, ,0.0634918
605, ,0.0962698
606,ت,0.0365956
607,و,0.0360882
608, ,0.0366178
610,م,0.0360848
612,ن,0.0363795
613, ,0.0971034
614,س,0.0365279
617,ل,0.0360775
618,ا,0.036079
619,م,0.0361034
620, ,0.0365382
623, ,0.0366319
624, ,0.036082
625,م,0.0360776
626,ن,0.0360774
627, ,0.036114
628, ,0.0365441
630,ف,0.0361529
631,ز,0.0360827
633,ا,0.0360782
635, ,0.0360809
638, ,0.0360775
639,م,0.0360939
641,ن,0.0360779
642, ,0.0363755
643, ,0.0360788
645, ,0.0360785
648,ف,0.0366305
649,ز,0.0360788
650,ا,0.0360783
652, ,0.0365567
653, ,0.0364852
655,ب,0.036373
657,ه,0.0360854
659, ,0.0363936
